"beskæftiget" "udlænding" "understøttelse" "alder" "uddannelse" "yngre.børn" "skole.børn"
"nej" "nej" 9.886124 60 5 0 0
"ja" "nej" 10.479397 35 9 0 2
"ja" "nej" 11.072008 35 11 0 2
"ja" "nej" 10.455375 45 8 0 2
"nej" "nej" 10.657366 24 11 2 0
"nej" "nej" 10.452542 35 8 1 1
"ja" "nej" 10.408072 32 17 1 0
"ja" "nej" 10.242023 33 12 0 2
"nej" "nej" 10.594236 46 8 0 1
"nej" "nej" 11.764058 50 5 0 2
"nej" "nej" 10.828298 32 12 0 0
"nej" "nej" 10.255769 58 8 0 0
"nej" "nej" 10.703698 41 8 0 2
"nej" "nej" 10.915251 34 6 0 2
"nej" "nej" 10.522782 21 4 1 0
"nej" "nej" 10.271325 56 13 0 0
"nej" "nej" 10.226447 34 8 0 3
"nej" "nej" 10.265912 37 10 0 1
"nej" "nej" 11.016894 31 12 0 1
"nej" "nej" 10.607904 22 11 1 0
"nej" "nej" 10.711562 32 11 1 1
"ja" "nej" 10.83166 41 8 0 3
"nej" "nej" 10.759536 37 12 0 4
"nej" "nej" 10.591802 29 10 0 0
"ja" "ja" 10.616046 46 9 0 1
"ja" "ja" 10.391358 26 7 2 0
"ja" "ja" 10.795493 44 9 0 0
"ja" "ja" 10.38051 48 4 0 0
"ja" "ja" 10.564662 34 4 0 3
"nej" "ja" 10.698279 34 12 1 2
"nej" "ja" 10.610146 48 5 0 0
"ja" "ja" 10.684275 28 6 1 2
"ja" "ja" 10.626887 32 5 0 2
"ja" "ja" 10.409648 50 4 0 3
"ja" "ja" 10.543944 36 5 2 1
"ja" "ja" 11.22967 50 12 0 0
"nej" "ja" 10.503701 25 11 2 0
"ja" "ja" 10.696332 30 11 3 0
"ja" "ja" 10.421497 25 5 0 2
"ja" "ja" 10.59306 32 8 1 1
"ja" "ja" 10.531076 29 10 1 1
"nej" "ja" 10.5864 44 7 0 2
"ja" "ja" 10.447639 40 5 0 3
"nej" "ja" 10.633358 52 12 0 0
"ja" "ja" 10.619115 27 8 2 1
"ja" "ja" 10.814894 32 8 0 1
"nej" "ja" 10.633692 30 12 2 0
"ja" "ja" 10.495332 40 5 0 1
"ja" "ja" 10.69087 47 4 0 0
"ja" "ja" 10.389276 48 4 0 1
"ja" "ja" 10.506461 36 6 0 1
"ja" "ja" 10.806028 38 10 0 1
"ja" "ja" 10.605672 38 3 0 1
"nej" "ja" 10.439596 48 11 0 0
"ja" "ja" 10.422506 41 7 0 0
"ja" "ja" 10.436939 39 4 0 2
"nej" "ja" 10.630927 31 9 2 0
"nej" "ja" 10.945442 32 7 0 2
"nej" "ja" 10.902927 41 4 1 1
"ja" "ja" 10.706151 36 5 0 2
"ja" "ja" 10.56807 38 3 0 3
"ja" "ja" 10.255037 57 3 0 0
"ja" "ja" 10.577855 34 8 0 2
"ja" "ja" 10.562634 42 5 0 3
"ja" "ja" 10.89776 32 11 0 0
"ja" "ja" 10.181681 48 5 0 2
"ja" "ja" 10.391575 22 9 2 0
"nej" "ja" 10.551271 31 8 0 2
"ja" "ja" 10.573802 26 4 0 0
"ja" "ja" 10.688289 43 11 0 1
"ja" "ja" 10.486849 44 4 0 2
"ja" "ja" 10.108172 45 4 0 1
"ja" "ja" 10.638368 29 5 1 1
"ja" "ja" 10.368427 46 4 0 0
"ja" "ja" 10.678598 31 5 1 1
"ja" "ja" 10.599005 21 11 0 0
"ja" "ja" 11.165198 41 12 0 1
"nej" "ja" 10.614234 28 8 1 2
"nej" "ja" 10.705376 39 2 1 0
"ja" "ja" 10.433034 45 3 0 1
"nej" "ja" 10.321651 49 4 0 1
"ja" "ja" 10.574284 42 10 0 2
"nej" "ja" 9.737393 59 4 0 0
"ja" "ja" 10.599734 54 5 0 0
"ja" "ja" 10.277369 33 7 0 3
"nej" "ja" 10.472802 24 9 1 1
"ja" "ja" 10.349497 35 5 0 0
"ja" "ja" 10.559267 49 8 0 0
"nej" "ja" 10.587798 48 5 1 2
"ja" "ja" 10.363468 41 5 0 0
"ja" "ja" 10.422002 37 5 0 2
"ja" "ja" 10.472802 38 9 0 4
"ja" "ja" 10.56164 42 7 0 1
"nej" "ja" 11.587482 46 11 0 1
"ja" "ja" 10.460904 33 5 0 2
"nej" "ja" 11.600476 55 15 0 0
"ja" "ja" 10.464381 50 5 0 2
"ja" "ja" 10.379642 22 6 1 0
"nej" "ja" 10.501483 40 5 0 2
"nej" "ja" 10.506813 47 5 0 1
"ja" "ja" 10.628378 50 10 0 0
"ja" "ja" 10.610259 28 8 0 2
"nej" "ja" 10.612646 39 5 0 3
"ja" "ja" 10.696993 36 12 0 2
"ja" "ja" 10.710382 39 4 0 2
"ja" "ja" 10.437066 48 4 0 0
"nej" "ja" 10.568229 29 5 2 0
"ja" "ja" 10.558129 46 5 0 0
"ja" "ja" 10.378959 58 5 0 0
"nej" "ja" 10.476105 25 5 1 0
"nej" "ja" 10.603369 29 5 1 2
"ja" "ja" 10.49096 21 11 0 0
"ja" "ja" 10.600079 31 5 0 1
"ja" "ja" 10.536475 35 4 0 2
"ja" "ja" 10.831383 30 5 0 2
"ja" "ja" 10.461597 31 8 1 0
"ja" "ja" 10.49143 34 12 1 1
"ja" "ja" 10.444563 28 11 3 0
"ja" "ja" 10.530988 41 2 0 2
"nej" "ja" 11.254684 59 8 0 0
"ja" "ja" 10.644262 27 9 1 2
"nej" "ja" 11.134107 54 16 0 0
"nej" "ja" 11.163557 40 11 1 1
"ja" "ja" 10.748157 35 7 0 1
"ja" "ja" 10.424117 39 5 0 3
"nej" "ja" 10.358268 43 5 0 2
"ja" "ja" 10.546735 36 8 0 2
"ja" "ja" 10.167575 46 4 0 0
"ja" "ja" 10.232409 44 4 0 0
"ja" "ja" 10.415019 44 6 0 0
"ja" "ja" 9.439709 29 1 2 0
"ja" "ja" 10.526048 32 10 1 2
"ja" "ja" 10.169228 55 5 0 0
"ja" "ja" 10.403554 34 5 0 2
"ja" "ja" 10.375732 37 8 1 1
"ja" "ja" 10.51803 26 5 0 1
"nej" "ja" 11.197707 38 12 0 1
"nej" "ja" 10.387608 45 8 0 1
"nej" "ja" 10.592153 34 8 0 2
"ja" "ja" 10.554045 36 6 0 2
"ja" "ja" 10.591844 26 10 0 2
"ja" "ja" 10.406093 40 5 1 1
"nej" "ja" 10.680139 40 9 0 1
"nej" "ja" 9.281793 57 5 0 0
"nej" "ja" 10.529899 25 8 2 0
"ja" "ja" 10.524458 30 8 0 1
"ja" "ja" 10.645608 25 7 1 1
"ja" "ja" 10.610342 43 2 0 2
"nej" "ja" 11.292684 46 10 0 1
"nej" "ja" 10.5143 26 7 1 1
"ja" "ja" 10.364109 23 4 1 0
"ja" "ja" 10.678174 32 8 0 2
"ja" "ja" 10.676672 34 13 0 2
"ja" "ja" 10.451906 33 3 1 1
"ja" "ja" 10.493905 25 6 0 1
"ja" "ja" 10.933745 39 11 0 2
"ja" "ja" 10.220448 32 9 1 0
"ja" "ja" 10.279145 47 5 0 0
"ja" "ja" 10.376983 46 9 0 1
"ja" "ja" 10.548088 41 8 0 2
"ja" "ja" 10.457786 25 5 2 1
"ja" "ja" 10.507745 39 10 0 1
"ja" "ja" 10.474064 51 3 0 0
"ja" "ja" 10.325908 51 10 0 0
"ja" "ja" 10.399045 49 16 0 0
"ja" "ja" 10.339881 35 8 1 2
"nej" "ja" 10.522865 27 7 1 1
"nej" "ja" 10.114141 47 4 0 1
"nej" "ja" 10.522161 30 8 3 0
"nej" "ja" 10.414384 32 5 2 1
"ja" "ja" 10.491921 34 8 0 3
"ja" "ja" 10.202841 41 4 0 0
"ja" "ja" 10.465267 26 6 1 2
"nej" "ja" 10.60335 33 8 2 0
"ja" "ja" 9.546312 49 6 0 3
"nej" "ja" 10.420614 41 6 0 3
"ja" "ja" 11.002878 37 9 0 2
"ja" "ja" 10.446016 40 3 0 2
"ja" "ja" 10.31609 50 6 0 1
"ja" "ja" 10.400943 29 8 0 2
"nej" "ja" 9.701465 26 4 1 1
"ja" "ja" 10.481405 31 8 0 1
"ja" "ja" 10.109776 32 5 0 1
"ja" "ja" 10.656443 44 5 0 1
"nej" "ja" 10.527389 23 8 1 0
"nej" "ja" 10.2496 24 8 1 0
"nej" "ja" 10.742908 27 8 1 1
"ja" "ja" 10.440141 28 8 0 1
"nej" "ja" 10.421623 52 4 0 1
"nej" "ja" 10.57064 47 12 0 2
"nej" "ja" 10.695252 42 8 0 2
"ja" "ja" 10.364536 42 5 0 1
"ja" "ja" 10.327931 47 4 0 0
"ja" "ja" 10.177955 36 5 0 1
"ja" "ja" 10.226662 41 8 0 0
"nej" "ja" 10.417757 38 3 1 1
"nej" "ja" 11.466458 36 13 0 2
"ja" "ja" 10.362868 25 8 1 0
"nej" "ja" 10.412528 47 5 0 1
"ja" "ja" 10.417331 44 7 0 1
"nej" "ja" 10.483624 44 2 0 1
"ja" "ja" 10.451833 47 8 0 0
"ja" "ja" 10.187326 20 5 1 0
"nej" "ja" 10.541466 41 8 0 1
"nej" "ja" 10.74696 50 7 0 1
"ja" "ja" 10.442706 36 4 1 1
"ja" "ja" 10.307899 20 8 0 0
"nej" "ja" 10.50997 28 6 2 0
"ja" "ja" 10.302572 44 7 0 0
"ja" "ja" 10.50766 35 9 0 2
"ja" "ja" 10.662906 46 15 0 1
"ja" "ja" 10.656736 26 9 1 0
"ja" "ja" 10.554351 31 8 0 2
"nej" "ja" 10.500807 49 5 0 1
"nej" "ja" 10.31735 55 5 0 0
"ja" "ja" 10.728559 40 4 0 1
"nej" "ja" 10.010429 57 6 0 1
"ja" "ja" 10.474912 51 5 0 2
"ja" "ja" 11.356841 56 3 0 0
"ja" "ja" 10.483732 33 2 1 3
"ja" "ja" 10.752502 41 5 0 2
"nej" "ja" 10.559347 32 12 1 0
"nej" "ja" 10.215829 25 11 1 0
"ja" "ja" 11.574043 47 13 0 0
"ja" "ja" 10.806046 31 16 2 0
"nej" "ja" 10.945839 33 14 0 2
"ja" "ja" 10.379906 28 5 0 2
"ja" "ja" 10.775556 38 11 0 0
"ja" "ja" 10.528899 34 9 1 1
"ja" "ja" 10.468534 33 6 0 2
"nej" "ja" 11.110955 35 10 1 1
"nej" "ja" 10.471365 51 9 0 1
"nej" "ja" 10.147503 41 5 1 0
"ja" "ja" 10.69323 35 9 0 2
"ja" "ja" 10.027595 42 14 0 0
"nej" "ja" 10.597393 24 4 2 1
"ja" "ja" 10.377773 48 8 0 0
"nej" "ja" 10.13374 24 6 2 0
"ja" "ja" 10.932351 41 10 0 1
"nej" "ja" 11.220691 51 10 0 0
